record_id	locus	class	method	status	runtime_wall	max_rss_kb	segments	links	paths	path_steps	segment_bp	replay_compression_ratio	singleton_bp	low_depth_bp	path_depth_median	path_depth_p95	path_depth_max	white_space_bridges	white_space_bp_total	white_space_bp_max	direct_self_loop_edges	direct_self_loop_nodes	adjacent_same_node_path_steps	adjacent_same_step_path_steps	self_loop_repeat_runs	self_loop_max_repeat_run_len	povu_sites	povu_leaf_sites	exact_path_status	artifact_path
c4_localized_default_attempt	C4_GRCh38_53kb	C4	syng-local:localized defaults	timeout_after_seed_paf	20:04.53	47119692																								not_testable_no_output	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/logs/c4.localized.time.txt
c4_localized_tuned_attempt	C4_GRCh38_53kb	C4	syng-local:localized tuned k311/1:many	timeout_after_paf_filter	15:04.60	46565888																								not_testable_no_output	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/logs/c4.localized.tuned.time.txt
c4_current_seed	C4_GRCh38_53kb	C4	seqwish seed k311 current-control	pass	3:18.19	8716128	7346	10093	465	2865437	253140	421.464304	5925	52671	461	931	16043	5958	24352099	36423	0	0	0	0	0	0	2677	2584	reference_for_exact_check	/home/erikg/impg/data/validate_current_c4_20260608T125053Z/reports/c4.k311.seed.repro.Ygs.graph-report.tsv
c4_current_poa1kb	C4_GRCh38_53kb	C4	poa1kb local-compression current-control	pass	0:33.07	2200168	8142	10963	465	3065010	258628	412.520972	7492	56791	461	931	16043	4900	26794743	25248	0	0	0	0	0	0	2853	2608	pass_465_paths_no_spelling_mismatches	/home/erikg/impg/data/validate_current_c4_20260608T125053Z/reports/c4.k311.poa1kb.repro.Ygs.graph-report.tsv
c4_pggb_control	C4_GRCh38_53kb	C4	PGGB/SmoothXG control	pass	13:37.90	64330340	13288	16240	465	5538879	234524	454.919215	2890	37477	465	931	7079	22851	17165717	73181	1	1	51	51	15	5	2870	2833	not_name-comparable_465_missing_465_extra	/home/erikg/impg/data/validate_current_c4_20260608T125053Z/reports/pggb.Ygs.graph-report.tsv
svr_amy1a_current	AMY1A	non-C4_SVR	COSIGT/HGSVC/SVR existing GFA current graph-report	pass	3:21.13	4225468	61605	77178	463	13690446	1154327	236.897306	242351	580843	58	491	600326	313437	294595633	986242	3	3	600383	600383	38	248285	0	0	not_attempted_no_source_comparator	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/reports/AMY1A.current.graph-report.tsv
svr_cyp2d7_current	CYP2D7	non-C4_SVR	COSIGT/HGSVC/SVR existing GFA current graph-report	pass	1:14.03	1592992	24289	30207	465	4903054	391057	242.603968	60306	183874	45	465	1448	25496	89705883	240636	0	0	0	0	0	0	0	0	not_attempted_no_source_comparator	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/reports/CYP2D7.current.graph-report.tsv
svr_hla_a_current	HLA-A	non-C4_SVR	COSIGT/HGSVC/SVR existing GFA current graph-report	pass	2:25.82	2996976	74012	90140	467	9163074	1227678	104.214463	130519	907951	33	462	930	66416	445626460	1165057	2	2	11	11	4	5	0	0	not_attempted_no_source_comparator	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/reports/HLA-A.current.graph-report.tsv
svr_kir2dl1_current	KIR2DL1	non-C4_SVR	COSIGT/HGSVC/SVR existing GFA current graph-report	pass	2:13.65	2460484	52928	69751	415	8383625	822137	165.219769	130694	463241	65	415	18666	243167	210805297	756596	1	1	18665	18665	1	18666	0	0	not_attempted_no_source_comparator	/home/erikg/impg/data/validate_localized_polishing_20260608T225223Z/reports/KIR2DL1.current.graph-report.tsv
